m_2,m_3,mean,stderr
2,2,1.628501832485199,0.1030155946018552
2,4,2.4629530906677246,0.16768857597216702
2,6,28.07665091753006,9.626482424280864
2,8,7.813331186771393,1.0216315574455745
4,2,7.348909556865692,1.2880438667359646
4,4,21.88964194059372,9.375260001609474
4,6,91.87936037778854,48.630568219065374
4,8,89.83442389965057,66.70644391837983
6,2,14.15027230978012,4.031958969519743
6,4,21.432771682739258,3.862158318701373
6,6,152.90022403001785,35.53404978257429
6,8,78.70908546447754,18.85731848407855
8,2,23.660557985305786,8.783394982756974
8,4,97.28388237953186,35.90998617536459
8,6,449.563028216362,249.78206678178609
8,8,1200.314714550972,423.68162850211104
