m_2,m_3,value
0,0,0.6982338428497314
0,2,0.6844475269317627
0,4,0.8316166400909424
0,6,0.9001328945159912
0,8,0.692035436630249
0,10,0.7848043441772461
0,12,0.6835086345672607
0,14,0.7969944477081299
0,16,0.6959025859832764
0,18,0.7206072807312012
0,20,0.6941859722137451
2,0,0.8977096080780029
2,2,1.0290336608886719
2,4,2.8222031593322754
2,6,4.82733416557312
2,8,4.253820180892944
2,10,4.250965595245361
2,12,4.254404067993164
2,14,4.877798557281494
2,16,6.843847036361694
2,18,8.344928979873657
2,20,7.130310535430908
4,0,0.6840033531188965
4,2,2.945366144180298
4,4,7.574624061584473
4,6,6.094733238220215
4,8,8.065566778182983
4,10,10.22822093963623
4,12,9.791545867919922
4,14,11.964085340499878
4,16,12.216676473617554
4,18,13.750428438186646
4,20,21.219481945037842
6,0,0.6960587501525879
6,2,3.6554739475250244
6,4,5.111322641372681
6,6,8.000848531723022
6,8,8.936336040496826
6,10,31.63866400718689
6,12,16.2365562915802
6,14,15.862631797790527
6,16,20.803457975387573
6,18,20.80597162246704
6,20,23.32414197921753
8,0,0.6937541961669922
8,2,3.1955184936523438
8,4,9.012567043304443
8,6,8.739657402038574
8,8,26.4280743598938
8,10,18.806299209594727
8,12,20.219740390777588
8,14,20.806961059570312
8,16,64.68656897544861
8,18,65.65685486793518
8,20,68.89282083511353
10,0,0.699418306350708
10,2,6.389380693435669
10,4,8.049611568450928
10,6,11.628464221954346
10,8,15.068779945373535
10,10,21.480829000473022
10,12,60.94222640991211
10,14,28.719374656677246
10,16,34.27684497833252
10,18,34.75812911987305
10,20,87.22637844085693
12,0,0.6834297180175781
12,2,8.174686431884766
12,4,9.691298723220825
12,6,14.811568021774292
12,8,17.979401111602783
12,10,75.29670476913452
12,12,30.04551911354065
12,14,31.35314178466797
12,16,94.47970795631409
12,18,122.3499448299408
12,20,107.37339353561401
14,0,0.6837537288665771
14,2,5.902618169784546
14,4,11.06644868850708
14,6,16.349112033843994
14,8,22.997300148010254
14,10,96.7503604888916
14,12,115.18109583854675
14,14,34.712509870529175
14,16,123.91994524002075
14,18,135.97661066055298
14,20,62.578368186950684
16,0,0.6965503692626953
16,2,6.61766505241394
16,4,12.772276401519775
16,6,17.988260507583618
16,8,24.247915983200073
16,10,76.15507388114929
16,12,36.62711691856384
16,14,105.74753618240356
16,16,52.335020303726196
16,18,52.43656873703003
16,20,69.02666187286377
18,0,0.6893906593322754
18,2,5.538156747817993
18,4,8.36661171913147
18,6,21.080008506774902
18,8,29.186745166778564
18,10,87.06565427780151
18,12,36.46302890777588
18,14,43.066035747528076
18,16,156.1245789527893
18,18,172.08224844932556
18,20,72.10171961784363
20,0,0.682772159576416
20,2,6.926188707351685
20,4,17.583221673965454
20,6,25.676773071289062
20,8,32.343342304229736
20,10,41.81468749046326
20,12,124.91018962860107
20,14,58.51051998138428
20,16,67.99022245407104
20,18,85.83399510383606
20,20,113.71641731262207
